S. No.,Month,Crash Date,Crash Day,Article Date,Location,Million Plus City,State,LatLong,Vehicle 1,Vehicle/Object 2,Killed,Injured,Age,Gender,Road Type,Crash Type,Latitude,Longitude,Age_Count,Average_Age,Minimum_Age,Maximum_Age,Object_2_Type,Crash_Year,Crash_Month_Number,Crash_Day_Number
2504,August,2023-08-10,Thursday,2023-08-11,Katraj-Kondwa Road,Pune,Maharashtra,"18.44979819014267, 73.87480734165986",TWO WHEELER,TRUCK,1,5,45,MALE,NH,Others,18.44979819014267,73.87480734165986,1.0,45.0,45.0,45.0,VEHICLE,2023,8,3
2505,August,2023-08-09,Wednesday,2023-08-11,Weigh Bridge,Pune,Maharashtra,"18.56975887441897, 73.95195534701449",TWO WHEELER,TRUCK,1,0,74,MALE,SH,Hit From Back,18.56975887441897,73.95195534701449,1.0,74.0,74.0,74.0,VEHICLE,2023,8,2
2507,August,2023-08-10,Thursday,2023-08-11,Rampur Baghelan,Nil,Madhya Pradesh,"24.51108255238158, 81.0590308442248",CAR,NIL,1,2,22,MALE,SH,Run Off Road,24.51108255238158,81.0590308442248,1.0,22.0,22.0,22.0,UNKNOWN,2023,8,3
2508,August,2023-08-10,Thursday,2023-08-11,Seneerkuppam,Chennai,Tamil Nadu,"13.056567845953595, 80.11598016359757",TWO WHEELER,NIL,1,0,22,MALE,NH,Run Off Road,13.056567845953596,80.11598016359757,1.0,22.0,22.0,22.0,UNKNOWN,2023,8,3
2509,August,2023-08-11,Friday,2023-08-11,Churah,Nil,Himachal Pradesh,"32.837051424234, 76.14740975481766",SUV,GORGE,7,4,,MALE,SH,Vehicle Overturn,32.837051424234,76.14740975481766,,,,,OBJECT,2023,8,4
2512,August,2023-08-12,Saturday,2023-08-12,Bijnor-Moradabad,Nil,Uttar Pradesh,"29.110684428396393, 78.45452061817029",TWO WHEELER,CAR,2,1,"55,45",MALE,SH,Head On Collision,29.110684428396397,78.45452061817029,2.0,50.0,45.0,55.0,VEHICLE,2023,8,5
2514,August,2023-08-11,Friday,2023-08-12,NH 91,Meerut,Uttar Pradesh,"28.96978784143976, 77.72308708067644",BUS,TRUCK,4,11,"26,18,70,35",BOTH,NH,Hit From Back,28.96978784143976,77.72308708067644,4.0,37.25,18.0,70.0,VEHICLE,2023,8,4
2515,August,2023-08-12,Saturday,2023-08-13,Banthadi,Nil,Rajasthan,"27.272623194584476, 74.3461514780576",SUV,BUS,7,2,"22,28,15,18,30,17,21",BOTH,NH,Head On Collision,27.27262319458448,74.3461514780576,7.0,21.571428571428573,15.0,30.0,VEHICLE,2023,8,5
2516,August,2023-08-11,Friday,2023-08-13,Dwarka Junction,Nashik,Maharashtra,"19.993786773445137, 73.7973335560066",TWO WHEELER,TRACTOR,1,1,54,FEMALE,NH,Head On Collision,19.993786773445137,73.7973335560066,1.0,54.0,54.0,54.0,VEHICLE,2023,8,4
2518,August,2023-08-12,Saturday,2023-08-14,Trambakeshwar Rd,Nashik,Maharashtra,"19.985659622504702, 73.72347856930219",TWO WHEELER,BUS,1,0,,MALE,NH,Hit From Side,19.985659622504706,73.72347856930219,,,,,VEHICLE,2023,8,5
2519,August,2023-08-12,Saturday,2023-08-14,Mumbai-Agra Highway,Nashik,Maharashtra,"20.009985337345462, 73.80736261116807",PEDESTRIAN,TRUCK,1,0,20,MALE,NH,Hit and Run,20.009985337345466,73.80736261116807,1.0,20.0,20.0,20.0,VEHICLE,2023,8,5
2521,August,2023-08-13,Sunday,2023-08-14,Valanjanaganam Waterfalls,Nil,Kerala,"9.562848772816334, 76.97744036837142",CAR,BOULDER,1,4,67,FEMALE,NH,Fixed Object Collision,9.562848772816334,76.97744036837142,1.0,67.0,67.0,67.0,VEHICLE,2023,8,6
2522,August,2023-08-13,Sunday,2023-08-14,Aganampudi,Vizag,Andhra Pradesh,"17.688816813889716, 83.13536095932004",TWO WHEELER,LORRY,1,1,55,FEMALE,SH,Head On Collision,17.688816813889716,83.13536095932004,1.0,55.0,55.0,55.0,VEHICLE,2023,8,6
2529,August,2023-08-16,Wednesday,2023-08-16,Yellanda,Nil,Telangana,"17.79050970644225, 79.59373705001147",AUTO RICKSHAW,TRUCK,4,3,,MALE,SH,Head On Collision,17.79050970644225,79.59373705001147,,,,,VEHICLE,2023,8,2
2530,August,2023-08-16,Wednesday,2023-08-16,Hansot,Nil,Gujarat,"21.58310869442561, 72.81583668894363",CAR,CAR,5,1,,BOTH,NH,Head On Collision,21.58310869442561,72.81583668894363,,,,,VEHICLE,2023,8,2
2531,August,2023-08-14,Monday,2023-08-16,Sultanpur,Nil,Haryana,"28.46389670070146, 76.86761282185974",PEDESTRIAN,UNIDENTIFIED,1,0,5,MALE,SH,Hit and Run,28.46389670070146,76.86761282185974,1.0,5.0,5.0,5.0,UNKNOWN,2023,8,0
2532,August,2023-08-13,Sunday,2023-08-16,Sohna,Nil,Haryana,"28.24920565718072, 77.07056343317039",PEDESTRIAN,CAR,1,0,25,MALE,NH,Hit and Run,28.24920565718072,77.07056343317039,1.0,25.0,25.0,25.0,VEHICLE,2023,8,6
2533,August,2023-08-15,Tuesday,2023-08-16,Damain De Goa,Nil,Goa,"15.545454618404014, 73.81973857583796",TWO WHEELER,CAR,1,0,28,MALE,NH,Hit From Back,15.545454618404014,73.81973857583796,1.0,28.0,28.0,28.0,VEHICLE,2023,8,1
