S. No.,Month,Crash Date,Crash Day,Article Date,Location,Million Plus City,State,LatLong,Vehicle 1,Vehicle/Object 2,Killed,Injured,Age,Gender,Road Type,Crash Type,Latitude,Longitude,Age_Count,Average_Age,Minimum_Age,Maximum_Age,Object_2_Type,Crash_Year,Crash_Month_Number,Crash_Day_Number
554,May,2022-05-11,Wednesday,2022-05-13,Abu Road,Nil,Rajasthan,"24.44651654208099, 72.74707664039552",PEDESTRIAN,TRUCK,4,2,"72,65,52,40",BOTH,NH,Head On Collision,24.44651654208099,72.74707664039552,4.0,57.25,40.0,72.0,VEHICLE,2022,5,2
556,May,2022-05-13,Friday,2022-05-14,Buchirajupalem,Vizag,Andhra Pradesh,"17.743685955669505, 83.23133769944204",PEDESTRIAN,BUS,1,0,17,MALE,SH,Hit and Run,17.743685955669505,83.23133769944204,1.0,17.0,17.0,17.0,VEHICLE,2022,5,4
558,May,2022-05-14,Saturday,2022-05-15,NH 544 Angamaly,Nil,Kerala,"10.19544529148008, 76.385954818015",PEDESTRIAN,TRUCK,1,1,20,MALE,NH,Hit and Run,10.19544529148008,76.385954818015,1.0,20.0,20.0,20.0,VEHICLE,2022,5,5
559,May,2022-05-15,Sunday,2022-05-15,Paldi,Jaipur,Rajasthan,"26.882724779328758, 75.90358755515705",CAR,TRUCK,6,9,"47,18,30,60,50,1",BOTH,NH,Others,26.88272477932876,75.90358755515705,6.0,34.333333333333336,1.0,60.0,VEHICLE,2022,5,6
560,May,2022-05-15,Sunday,2022-05-15,Nareli,Nil,Rajasthan,"26.46894502713314, 74.71138723875984",BUS,TRUCK,2,4,,BOTH,NH,Head On Collision,26.46894502713314,74.71138723875984,,,,,VEHICLE,2022,5,6
561,May,2022-05-15,Sunday,2022-05-15,Surer,Nil,Rajasthan,"27.192183084330974, 76.61110009421967",AUTO RICKSHAW,TRUCK,4,0,,BOTH,SH,Others,27.19218308433097,76.61110009421967,,,,,VEHICLE,2022,5,6
563,May,2022-05-14,Saturday,2022-05-15,Nanpara Road,Nil,Uttar Pradesh,"27.93132132286943, 81.13886070926094",CAR,SUV,3,2,"38,22",MALE,NH,Head On Collision,27.93132132286943,81.13886070926094,2.0,30.0,22.0,38.0,VEHICLE,2022,5,5
564,May,2022-05-12,Thursday,2022-05-15,Ojhar,Nil,Maharashtra,"20.101925235020726, 73.93152734494723",TWO WHEELER,TRUCK,2,0,"79,78",MALE,NH,Hit From Back,20.10192523502073,73.93152734494723,2.0,78.5,78.0,79.0,VEHICLE,2022,5,3
565,May,2022-05-14,Saturday,2022-05-16,Mahasrul,Nashik,Maharashtra,"20.053177692119505, 73.80500197185006",TWO WHEELER,UNIDENTIFIED,1,0,20,MALE,SH,Hit and Run,20.053177692119505,73.80500197185006,1.0,20.0,20.0,20.0,UNKNOWN,2022,5,5
568,May,2022-05-16,Monday,2022-05-16,Ghiyagi,Nil,Himachal Pradesh,"31.577913906049712, 77.35941405794472",SUV,GORGE,4,3,,BOTH,NH,Vehicle Overturn,31.577913906049712,77.35941405794472,,,,,OBJECT,2022,5,0
569,May,2022-05-14,Saturday,2022-05-16,Devguradia,Indore,Madhya Pradesh,"22.671794394071348, 75.918089949171",CAR,NIL,1,0,,MALE,NH,Run Off Road,22.671794394071348,75.918089949171,,,,,UNKNOWN,2022,5,5
571,May,2022-05-15,Sunday,2022-05-16,Tadubi,Nil,Manipur,"25.477662972636836, 94.13632029737813",TRUCK,GORGE,2,0,,MALE,NH,Vehicle Overturn,25.47766297263684,94.13632029737812,,,,,OBJECT,2022,5,6
572,May,2022-05-17,Tuesday,2022-05-17,Odhi,Nil,Haryana,"28.057112633830748, 76.53551845040089",SUV,TRUCK,5,11,"50,35,16,45,70",BOTH,NH,With Parked Vehicle,28.057112633830748,76.53551845040089,5.0,43.2,16.0,70.0,VEHICLE,2022,5,1
573,May,2022-05-17,Tuesday,2022-05-17,Mundi,Nil,Madhya Pradesh,"22.067179456684197, 76.49031909208674",PEDESTRIAN,TRUCK,3,10,"62,5",BOTH,SH,Others,22.0671794566842,76.49031909208674,2.0,33.5,5.0,62.0,VEHICLE,2022,5,1
576,May,2022-05-17,Tuesday,2022-05-18,Sector 25 Panchkula,Nil,Haryana,"30.671221259827167, 76.88999539410526",TWO WHEELER,CAR,1,0,,MALE,NH,Head On Collision,30.671221259827167,76.88999539410526,,,,,VEHICLE,2022,5,1
577,May,2022-05-17,Tuesday,2022-05-18,Purmepada,Nil,Maharashtra,"20.72823115621517, 74.70037694353343",AUTO RICKSHAW,TRUCK,3,10,"28,51,48",MALE,NH,Others,20.72823115621517,74.70037694353343,3.0,42.333333333333336,28.0,51.0,VEHICLE,2022,5,1
579,May,2022-05-19,Thursday,2022-05-19,Rohad Toll Plaza,Nil,Haryana,"28.754327124318575, 76.7952203240415",PEDESTRIAN,TRUCK,3,15,,MALE,NH,Hit and Run,28.75432712431857,76.7952203240415,,,,,VEHICLE,2022,5,3
580,May,2022-05-17,Tuesday,2022-05-19,Naujheel,Nil,Uttar Pradesh,"27.881762542999425, 77.66609822093308",BUS,TRUCK,3,31,"55,60",MALE,SH,With Parked Vehicle,27.881762542999425,77.66609822093308,2.0,57.5,55.0,60.0,VEHICLE,2022,5,1
583,May,2022-05-18,Wednesday,2022-05-20,Khudel,Nil,Madhya Pradesh,"22.68762302544426, 76.02893113430558",PEDESTRIAN,UNIDENTIFIED,1,0,16,MALE,NH,Hit and Run,22.68762302544426,76.02893113430558,1.0,16.0,16.0,16.0,UNKNOWN,2022,5,2
584,May,2022-05-20,Friday,2022-05-20,Tulsipur,Nil,Uttar Pradesh,"27.52172053183818, 82.41235769557638",SUV,TRACTOR,6,3,,,NH,Others,27.52172053183818,82.41235769557638,,,,,VEHICLE,2022,5,4
585,May,2022-05-20,Friday,2022-05-20,Phoolpur,Nil,Uttar Pradesh,"25.550649693378844, 82.08572387562211",TRUCK,TRUCK,3,9,"8,15,35",BOTH,NH,Head On Collision,25.550649693378844,82.08572387562211,3.0,19.333333333333332,8.0,35.0,VEHICLE,2022,5,4
586,May,2022-05-19,Thursday,2022-05-20,Devikulam,Nil,Kerala,"10.052362937218437, 77.10900568693022",CAR,GORGE,2,7,"32,1",BOTH,NH,Vehicle Overturn,10.052362937218437,77.10900568693022,2.0,16.5,1.0,32.0,OBJECT,2022,5,3
587,May,2022-05-18,Wednesday,2022-05-20,Bharatpur,Nil,Rajasthan,"27.204043277713968, 77.51521609091031",CAR,SUV,5,2,"18,20,16,18,16",MALE,NH,Head On Collision,27.204043277713968,77.51521609091031,5.0,17.6,16.0,20.0,VEHICLE,2022,5,2
588,May,2022-05-19,Thursday,2022-05-20,Balaji Temple,Nil,Rajasthan,"28.39348444862294, 74.53522041330635",TRUCK,TRUCK,1,1,,MALE,SH,Head On Collision,28.39348444862294,74.53522041330635,,,,,VEHICLE,2022,5,3
592,May,2022-05-21,Saturday,2022-05-21,Bad Cross,Nil,Karnataka,"15.403185532896078, 74.94871527223813",SUV,TREE,9,12,"14,13,34,60,20,11,35",BOTH,SH,Fixed Object Collision,15.403185532896078,74.94871527223813,7.0,26.714285714285715,11.0,60.0,OBJECT,2022,5,5
593,May,2022-05-20,Friday,2022-05-21,New Sarada Bridge,Nil,Andhra Pradesh,"17.69064089159312, 82.9963702178825",CAR,DIVIDER,1,5,,MALE,SH,Fixed Object Collision,17.69064089159312,82.9963702178825,,,,,OBJECT,2022,5,4
594,May,2022-05-20,Friday,2022-05-21,Thiruporur,Nil,Tamil Nadu,"12.720451344575162, 80.22874420186511",TWO WHEELER,TRUCK,1,2,15,MALE,SH,Hit From Back,12.720451344575162,80.22874420186511,1.0,15.0,15.0,15.0,VEHICLE,2022,5,4
596,May,2022-05-21,Saturday,2022-05-21,Amrapur,Nil,Gujarat,"23.40338740944115, 72.91766547164153",TRUCK,TRUCK,2,2,,,SH,Others,23.40338740944115,72.91766547164153,,,,,VEHICLE,2022,5,5
597,May,2022-05-20,Friday,2022-05-21,Jarhagaon,Nil,Chhattisgarh,"22.11624018077627, 81.83013784997301",PICK UP,TRUCK,4,0,"36,22,24,40",MALE,NH,Hit From Back,22.11624018077627,81.83013784997301,4.0,30.5,22.0,40.0,VEHICLE,2022,5,4
599,May,2022-05-22,Sunday,2022-05-22,Bhindoosi,Nil,Rajasthan,"27.8986323679581, 76.78800883305775",CAR,TREE,3,1,"40,36,12",BOTH,SH,Fixed Object Collision,27.8986323679581,76.78800883305775,3.0,29.333333333333332,12.0,40.0,OBJECT,2022,5,6
600,May,2022-05-22,Sunday,2022-05-22,Narava,Nil,Andhra Pradesh,"18.137699542148816, 83.32743542368257",TWO WHEELER,NIL,1,0,50,MALE,NH,Run Off Road,18.137699542148816,83.32743542368257,1.0,50.0,50.0,50.0,UNKNOWN,2022,5,6
601,May,2022-05-22,Sunday,2022-05-22,Tekkali,Nil,Andhra Pradesh,"18.60336510138477, 84.22527114802753",TWO WHEELER,CAR,1,1,45,FEMALE,SH,Hit From Back,18.60336510138477,84.22527114802753,1.0,45.0,45.0,45.0,VEHICLE,2022,5,6
602,May,2022-05-22,Sunday,2022-05-22,Katya,Nil,Uttar Pradesh,"25.643551452860763, 83.27729612961552",SUV,TRUCK,8,3,"16,35,26,18,19,25,35,22",BOTH,NH,With Parked Vehicle,25.643551452860763,83.27729612961552,8.0,24.5,16.0,35.0,VEHICLE,2022,5,6
605,May,2022-05-22,Sunday,2022-05-23,Guttapalli,Nil,Andhra Pradesh,"13.86819759021567, 78.77461262053599",TWO WHEELER,TWO WHEELER,2,0,"18,19",BOTH,NH,Head On Collision,13.86819759021567,78.77461262053599,2.0,18.5,18.0,19.0,VEHICLE,2022,5,6
608,May,2022-05-22,Sunday,2022-05-23,Kakatiya Canal Bridge,Nil,Telangana,"18.006945956912094, 79.5901092116075",CAR,RIVER,2,2,"49,55",MALE,SH,Vehicle Overturn,18.006945956912094,79.5901092116075,2.0,52.0,49.0,55.0,OBJECT,2022,5,6
609,May,2022-05-24,Tuesday,2022-05-24,Gulaothi,Nil,Uttar Pradesh,"28.584515854011727, 77.79003248290203",CAR,TRUCK,5,5,,,SH,With Parked Vehicle,28.584515854011727,77.79003248290203,,,,,VEHICLE,2022,5,1
610,May,2022-05-24,Tuesday,2022-05-24,Tarihal Bypass Hubbali,Nil,Karnataka,"15.362913139180938, 75.04617176877429",LORRY,BUS,8,24,,BOTH,NH,Others,15.362913139180938,75.04617176877429,,,,,VEHICLE,2022,5,1
614,May,2022-05-25,Wednesday,2022-05-25,Palhari,Nil,Uttar Pradesh,"26.924781146967202, 81.21674603315309",CAR,TRUCK,4,0,,,SH,Head On Collision,26.9247811469672,81.21674603315309,,,,,VEHICLE,2022,5,2
615,May,2022-05-24,Tuesday,2022-05-25,Kandela,Nil,Haryana,"29.380654201283967, 76.34064669325195",SUV,TRUCK,6,17,,BOTH,SH,Head On Collision,29.380654201283967,76.34064669325195,,,,,VEHICLE,2022,5,1
616,May,2022-05-24,Tuesday,2022-05-25,Thiruverumbur,Trichy,Tamil Nadu,"10.782139133310102, 78.78119451775756",TWO WHEELER,TRUCK,2,0,"23,26",MALE,NH,Hit From Back,10.782139133310102,78.78119451775756,2.0,24.5,23.0,26.0,VEHICLE,2022,5,1
618,May,2022-05-25,Wednesday,2022-05-26,Moravapalli,Nil,Andhra Pradesh,"13.620821614553691, 78.24049514806525",CAR,DIVIDER,4,0,"45,35,4,3",BOTH,SH,Fixed Object Collision,13.620821614553693,78.24049514806525,4.0,21.75,3.0,45.0,OBJECT,2022,5,2
619,May,2022-05-25,Wednesday,2022-05-26,Kotigad,Nil,Uttarakhand,"30.374375138949954, 78.39255813167205",CAR,GORGE,6,0,"24,23,61,59,43,36",BOTH,NH,Vehicle Overturn,30.374375138949954,78.39255813167205,6.0,41.0,23.0,61.0,OBJECT,2022,5,2
620,May,2022-05-25,Wednesday,2022-05-26,Nandigama Bypass,Nil,Andhra Pradesh,"16.789162736432047, 80.27281226724797",AUTO RICKSHAW,LORRY,2,0,,MALE,NH,Others,16.789162736432047,80.27281226724797,,,,,VEHICLE,2022,5,2
622,May,2022-05-26,Thursday,2022-05-27,Mopidevi,Nil,Andhra Pradesh,"16.065948412909762, 80.9215953574275",CAR,DIVIDER,4,3,"50,52,50,70",MALE,NH,Fixed Object Collision,16.065948412909762,80.9215953574275,4.0,55.5,50.0,70.0,OBJECT,2022,5,3
627,May,2022-05-26,Thursday,2022-05-28,Autonagar,Vijayawada,Andhra Pradesh,"16.491462412431225, 80.66894989089407",TWO WHEELER,LORRY,3,0,"34,29,5",BOTH,NH,Head On Collision,16.491462412431225,80.66894989089407,3.0,22.666666666666668,5.0,34.0,VEHICLE,2022,5,3
629,May,2022-05-26,Thursday,2022-05-28,Barkot,Nil,Uttarakhand,"30.80689279355813, 78.20420198159802",SUV,GORGE,3,10,"40,42,23",BOTH,NH,Vehicle Overturn,30.80689279355813,78.20420198159802,3.0,35.0,23.0,42.0,OBJECT,2022,5,3
630,May,2022-05-29,Sunday,2022-05-29,Nainiha,Nil,Uttar Pradesh,"28.016454798886496, 81.31789301824823",BUS,TRUCK,7,9,"60,36,30,48,47,45,47",BOTH,NH,Head On Collision,28.016454798886496,81.31789301824823,7.0,44.714285714285715,30.0,60.0,VEHICLE,2022,5,6
634,May,2022-05-29,Sunday,2022-05-29,Khamdong,Nil,Sikkim,"27.25894051998348, 88.45985559791545",CAR,GORGE,6,0,,BOTH,SH,Vehicle Overturn,27.25894051998348,88.45985559791545,,,,,OBJECT,2022,5,6
635,May,2022-05-29,Friday,2022-05-30,Bekariya,Nil,Rajasthan,"24.711856481447, 73.22791031897731",BUS,TRUCK,2,15,"55,27",BOTH,NH,With Parked Vehicle,24.711856481447,73.22791031897731,2.0,41.0,27.0,55.0,VEHICLE,2022,5,6
636,May,2022-05-28,Saturday,2022-05-30,Lunawada,Nil,Gujarat,"23.129551575290876, 73.60547304334649",TWO WHEELER,TRUCK,4,0,"30,24,5,1",BOTH,SH,Hit From Back,23.12955157529088,73.60547304334649,4.0,15.0,1.0,30.0,VEHICLE,2022,5,5
637,May,2022-05-28,Saturday,2022-05-30,Sola Bhagwat,Ahmedabad,Gujarat,"23.088775010841232, 72.52882841657133",TWO WHEELER,CAR,2,0,"34,32",BOTH,NH,Others,23.088775010841232,72.52882841657133,2.0,33.0,32.0,34.0,VEHICLE,2022,5,5
638,May,2022-05-28,Saturday,2022-05-30,Panjriya,Nil,Madhya Pradesh,"22.566176366809227, 75.64855895145381",CAR,TRUCK,2,1,,MALE,NH,Head On Collision,22.566176366809227,75.64855895145381,,,,,VEHICLE,2022,5,5
639,May,2022-05-29,Sunday,2022-05-31,Bapat Junction,Indore,Madhya Pradesh,"22.754986077654113, 75.87853274338192",CAR,DIVIDER,1,3,30,MALE,SH,Fixed Object Collision,22.754986077654117,75.87853274338192,1.0,30.0,30.0,30.0,OBJECT,2022,5,6
641,May,2022-05-29,Sunday,2022-05-31,Rentachintala,Nil,Andhra Pradesh,"16.553717107957826, 79.5669647203101",LORRY,TRUCK,7,18,"70,50,70,50,32,60,40",BOTH,SH,With Parked Vehicle,16.553717107957826,79.5669647203101,7.0,53.142857142857146,32.0,70.0,VEHICLE,2022,5,6
644,June,2022-05-31,Tuesday,2022-06-01,Kesar Hotel,Nil,Madhya Pradesh,"21.809840627336214, 76.37687237616558",CAR,TREE,3,3,"28,30,5",MALE,SH,Fixed Object Collision,21.80984062733621,76.37687237616558,3.0,21.0,5.0,30.0,OBJECT,2022,5,1
645,June,2022-05-30,Monday,2022-06-01,Mugaliya Hat,Nil,Madhya Pradesh,"23.347097950679085, 77.25918848605697",SUV,TRUCK,2,0,"57,32",BOTH,NH,With Parked Vehicle,23.347097950679085,77.25918848605697,2.0,44.5,32.0,57.0,VEHICLE,2022,5,0
646,June,2022-05-31,Tuesday,2022-06-01,Kishan Ghat,Nil,Rajasthan,"26.915699517136556, 70.89697169768434",PEDESTRIAN,SUV,1,0,5,MALE,SH,Hit and Run,26.91569951713656,70.89697169768434,1.0,5.0,5.0,5.0,VEHICLE,2022,5,1
648,June,2022-06-02,Thursday,2022-06-02,Kasbe Vani,Nil,Maharashtra,"20.329656892867114, 73.89217606845048",CAR,TRACTOR,7,9,,,NH,With Parked Vehicle,20.329656892867117,73.89217606845048,,,,,VEHICLE,2022,6,3
649,June,2022-06-02,Thursday,2022-06-03,Khamalpur,Nil,Madhya Pradesh,"22.01081464760876, 77.98420074749231",CAR,TREE,1,0,39,MALE,SH,Fixed Object Collision,22.01081464760876,77.98420074749231,1.0,39.0,39.0,39.0,OBJECT,2022,6,3
652,June,2022-06-03,Friday,2022-06-04,Suvarna Vidhana Soudha,Nil,Karnataka,"15.814044464114778, 74.56729689574281",TWO WHEELER,UNIDENTIFIED,1,0,29,MALE,NH,Hit and Run,15.814044464114778,74.56729689574281,1.0,29.0,29.0,29.0,UNKNOWN,2022,6,4
656,June,2022-06-04,Saturday,2022-06-05,Sub Jail Neemuch,Nil,Madhya Pradesh,"24.489426562017265, 74.85483398272432",TWO WHEELER,UNIDENTIFIED,1,0,45,MALE,SH,Hit and Run,24.489426562017265,74.85483398272432,1.0,45.0,45.0,45.0,UNKNOWN,2022,6,5
657,June,2022-06-04,Saturday,2022-06-05,Kasegaon,Nil,Maharashtra,"17.12572168069846, 74.19127777864087",CAR,TRUCK,5,0,"35,38,14,9,4",BOTH,NH,With Parked Vehicle,17.12572168069846,74.19127777864087,5.0,20.0,4.0,38.0,VEHICLE,2022,6,5
659,June,2022-06-03,Friday,2022-06-05,Kamba Perumal Temple,Nil,Tamil Nadu,"10.003957226637306, 77.6341600810625",PEDESTRIAN,UNIDENTIFIED,1,0,65,MALE,NH,Hit and Run,10.003957226637306,77.6341600810625,1.0,65.0,65.0,65.0,UNKNOWN,2022,6,4
662,June,2022-06-03,Friday,2022-06-05,Borawde,Nil,Maharashtra,"16.42736453357851, 74.1379363663469",TWO WHEELER,TRUCK,2,0,"45,40",BOTH,SH,Head On Collision,16.42736453357851,74.1379363663469,2.0,42.5,40.0,45.0,VEHICLE,2022,6,4
665,June,2022-06-06,Monday,2022-06-06,Tikamgarh,Nil,Madhya Pradesh,"24.73970254600168, 78.83286181028619",TWO WHEELER,TRUCK,2,0,"22,30",MALE,NH,Others,24.73970254600168,78.83286181028619,2.0,26.0,22.0,30.0,VEHICLE,2022,6,0
666,June,2022-06-05,Sunday,2022-06-06,Damta,Nil,Uttarakhand,"30.607009907833316, 77.92334486813934",BUS,GORGE,26,4,,,NH,Vehicle Overturn,30.60700990783332,77.92334486813934,,,,,OBJECT,2022,6,6
668,June,2022-06-05,Sunday,2022-06-06,Pandav Nagar,Delhi,Delhi,"28.604788629384398, 77.27089969675745",CAR,TRUCK,1,4,42,MALE,NH,With Parked Vehicle,28.6047886293844,77.27089969675745,1.0,42.0,42.0,42.0,VEHICLE,2022,6,6
669,June,2022-06-06,Monday,2022-06-07,NH 754K Gudamalani,Nil,Rajasthan,"25.197726924004595, 71.71201875826284",SUV,TRUCK,8,2,,,SH,Head On Collision,25.197726924004595,71.71201875826284,,,,,VEHICLE,2022,6,0
675,June,2022-06-08,Wednesday,2022-06-08,Bishankheda,Nil,Madhya Pradesh,"23.021397236302818, 77.57139574905625",CAR,TRUCK,4,0,"45,55,40,5",BOTH,NH,Others,23.021397236302818,77.57139574905625,4.0,36.25,5.0,55.0,VEHICLE,2022,6,2
676,June,2022-06-07,Tuesday,2022-06-08,Igyar,Nil,Uttarakhand,"29.544815632725147, 80.18018430174787",CAR,GORGE,2,5,"28,25",MALE,NH,Vehicle Overturn,29.544815632725147,80.18018430174787,2.0,26.5,25.0,28.0,OBJECT,2022,6,1
677,June,2022-06-08,Wednesday,2022-06-09,Jagahedi,Nil,Uttar Pradesh,"29.47283678032048, 77.70853161890987",TWO WHEELER,TRUCK,5,0,"25,22,23,24,22",BOTH,SH,Others,29.47283678032048,77.70853161890987,5.0,23.2,22.0,25.0,VEHICLE,2022,6,2
680,June,2022-06-07,Tuesday,2022-06-09,Janjgir,Nil,Chhattisgarh,"22.01035749836458, 82.58599721304581",VAN,NIL,2,3,"17,14",MALE,NH,Run Off Road,22.01035749836458,82.58599721304581,2.0,15.5,14.0,17.0,UNKNOWN,2022,6,1
682,June,2022-06-08,Wednesday,2022-06-09,Ampapuram,Nil,Andhra Pradesh,"16.59875151445646, 80.8944792633032",CAR,WALL,2,2,"22,27",MALE,NH,Fixed Object Collision,16.59875151445646,80.8944792633032,2.0,24.5,22.0,27.0,OBJECT,2022,6,2
683,June,2022-06-09,Thursday,2022-06-10,ITC Sonar,Kolkata,West Bengal,"22.544311210043418, 88.39890503031775",BICYCLE,UNIDENTIFIED,1,0,72,MALE,SH,Hit and Run,22.544311210043418,88.39890503031775,1.0,72.0,72.0,72.0,UNKNOWN,2022,6,3
684,June,2022-06-08,Wednesday,2022-06-10,Binjger,Nil,Maharashtra,"17.42351210964127, 76.30204082041193",CAR,TRUCK,3,0,"29,28,23",MALE,NH,Head On Collision,17.42351210964127,76.30204082041193,3.0,26.666666666666668,23.0,29.0,VEHICLE,2022,6,2
685,June,2022-06-09,Thursday,2022-06-10,Survey Park,Kolkata,West Bengal,"22.487576871396016, 88.39408350639546",TWO WHEELER,POLE,2,0,"20,22",MALE,SH,Fixed Object Collision,22.487576871396016,88.39408350639546,2.0,21.0,20.0,22.0,OBJECT,2022,6,3
688,June,2022-06-09,Thursday,2022-06-11,Mhow,Nil,Madhya Pradesh,"22.553608768631015, 75.76871631788185",TWO WHEELER,TRUCK,1,0,,MALE,SH,Hit From Back,22.553608768631012,75.76871631788185,,,,,VEHICLE,2022,6,3
689,June,2022-06-10,Friday,2022-06-11,Bidhuna Road,Nil,Uttar Pradesh,"26.824227561796622, 79.58801099182983",CAR,BUS,4,5,"24,42,45,8",MALE,NH,Head On Collision,26.824227561796626,79.58801099182983,4.0,29.75,8.0,45.0,VEHICLE,2022,6,4
691,June,2022-06-10,Friday,2022-06-12,Malewada,Nil,Maharashtra,"20.488917635786787, 80.37200741396082",TRUCK,TRUCK,1,0,38,MALE,SH,With Parked Vehicle,20.488917635786787,80.37200741396082,1.0,38.0,38.0,38.0,VEHICLE,2022,6,4
693,June,2022-06-12,Sunday,2022-06-12,Vandalur,Nil,Tamil Nadu,"12.889403720908282, 80.08417600449853",TWO WHEELER,TWO WHEELER,1,1,60,FEMALE,NH,Hit From Back,12.889403720908282,80.08417600449853,1.0,60.0,60.0,60.0,VEHICLE,2022,6,6
694,June,2022-06-11,Saturday,2022-06-13,Chikkasettikere,Nil,Karnataka,"13.058460611238306, 76.7494479289059",TWO WHEELER,CAR,1,0,41,MALE,NH,Head On Collision,13.058460611238306,76.7494479289059,1.0,41.0,41.0,41.0,VEHICLE,2022,6,5
695,June,2022-06-12,Sunday,2022-06-13,Swaroop Nagar,Delhi,Delhi,"28.758982298235107, 77.14780488503342",CAR,TRUCK,2,3,"26,26",MALE,NH,With Parked Vehicle,28.758982298235107,77.14780488503342,2.0,26.0,26.0,26.0,VEHICLE,2022,6,6
697,June,2022-06-12,Sunday,2022-06-13,Thal,Nil,Uttarakhand,"29.739018265867422, 80.04729161837417",CAR,GORGE,4,2,"53,50,50,90",FEMALE,NH,Vehicle Overturn,29.739018265867426,80.04729161837417,4.0,60.75,50.0,90.0,OBJECT,2022,6,6
699,June,2022-06-12,Sunday,2022-06-13,Rasipuram,Nil,Tamil Nadu,"11.460151503251813, 78.18452570801001",PEDESTRIAN,VAN,2,0,"55,35",MALE,SH,Hit and Run,11.460151503251812,78.18452570801001,2.0,45.0,35.0,55.0,VEHICLE,2022,6,6
700,June,2022-06-13,Monday,2022-06-14,Marwa,Nil,Bihar,"25.407253287536825, 86.91995408209277",AUTO RICKSHAW,TRUCK,5,7,"40,35,50,55,43",MALE,NH,Head On Collision,25.407253287536825,86.91995408209277,5.0,44.6,35.0,55.0,VEHICLE,2022,6,0
702,June,2022-06-12,Sunday,2022-06-14,Pillaichathiram,Nil,Tamil Nadu,"12.904043861103126, 79.8186047855074",CAR,RAILING,2,1,"45,65",BOTH,NH,Fixed Object Collision,12.904043861103126,79.8186047855074,2.0,55.0,45.0,65.0,VEHICLE,2022,6,6
705,June,2022-06-13,Monday,2022-06-14,Edugurallapalli,Nil,Andhra Pradesh,"17.74308695588915, 81.17859541513889",BUS,NIL,5,35,,,NH,Run Off Road,17.74308695588915,81.17859541513889,,,,,UNKNOWN,2022,6,0
706,June,2022-06-15,Wednesday,2022-06-15,Arasankulam,Nil,Tamil Nadu,"8.712696172048279, 77.5610187479597",BUS,NIL,3,27,,,SH,Run Off Road,8.712696172048279,77.5610187479597,,,,,UNKNOWN,2022,6,2
711,June,2022-06-15,Wednesday,2022-06-16,Sukhadhana,Nil,Madhya Pradesh,"22.123217949169135, 78.08725001776396",TWO WHEELER,TWO WHEELER,3,1,"22,24,23",MALE,SH,Head On Collision,22.12321794916913,78.08725001776396,3.0,23.0,22.0,24.0,VEHICLE,2022,6,2
712,June,2022-06-15,Wednesday,2022-06-16,Betma,Nil,Madhya Pradesh,"22.681471723633074, 75.61653095236426",TWO WHEELER,UNIDENTIFIED,1,1,55,MALE,NH,Hit and Run,22.681471723633077,75.61653095236426,1.0,55.0,55.0,55.0,UNKNOWN,2022,6,2
714,June,2022-06-16,Thursday,2022-06-17,Porunthamon,Nil,Kerala,"8.755006853393292, 76.89401865081159",CAR,TREE,1,3,21,MALE,SH,Fixed Object Collision,8.755006853393292,76.89401865081159,1.0,21.0,21.0,21.0,OBJECT,2022,6,3
718,June,2022-06-18,Saturday,2022-06-18,Banthra,Nil,Uttar Pradesh,"27.919215943809085, 79.82156315624165",VAN,TRUCK,7,5,"35,15,23,16,13,13",BOTH,NH,Head On Collision,27.919215943809085,79.82156315624165,6.0,19.166666666666668,13.0,35.0,VEHICLE,2022,6,5
719,June,2022-06-17,Friday,2022-06-18,Police training school,Kolkata,West Bengal,"22.540617881487176, 88.33483201192526",PEDESTRIAN,BUS,1,0,45,MALE,NH,Hit and Run,22.540617881487176,88.33483201192526,1.0,45.0,45.0,45.0,VEHICLE,2022,6,4
723,June,2022-06-19,Sunday,2022-06-19,Mukkola,Nil,Kerala,"8.383775135535078, 77.00765850120908",TWO WHEELER,TWO WHEELER,2,0,,MALE,NH,Head On Collision,8.383775135535078,77.00765850120908,,,,,VEHICLE,2022,6,6
724,June,2022-06-20,Monday,2022-06-20,Hamira,Nil,Punjab,"31.45917259295232, 75.44308835486723",CAR,TRUCK,5,2,,,NH,With Parked Vehicle,31.45917259295232,75.44308835486723,,,,,VEHICLE,2022,6,0
727,June,2022-06-19,Sunday,2022-06-20,Madhavaram,Chennai,Tamil Nadu,"13.144252476160666, 80.22079711417277",TWO WHEELER,WALL,1,1,25,MALE,NH,Fixed Object Collision,13.144252476160666,80.22079711417277,1.0,25.0,25.0,25.0,OBJECT,2022,6,6
729,June,2022-06-17,Friday,2022-06-20,Ghalu Wal,Nil,Himachal Pradesh,"31.516174765446653, 76.21153257214968",TWO WHEELER,TRUCK,1,0,55,MALE,NH,Head On Collision,31.516174765446653,76.21153257214968,1.0,55.0,55.0,55.0,VEHICLE,2022,6,4
731,June,2022-06-20,Monday,2022-06-21,Khudel,Nil,Madhya Pradesh,"22.687702214652454, 76.0234808853594",TWO WHEELER,TRUCK,2,0,,MALE,NH,Head On Collision,22.68770221465245,76.0234808853594,,,,,VEHICLE,2022,6,0
732,June,2022-06-19,Sunday,2022-06-21,Sankalakariya,Nil,Karnataka,"13.100764084068198, 74.87746982376122",SUV,NIL,1,2,18,FEMALE,NH,Run Off Road,13.100764084068198,74.87746982376122,1.0,18.0,18.0,18.0,UNKNOWN,2022,6,6
